Weighting,Starting Battery Capacity (Wh),Route Distance (m),Travel Time (s),CS stops,CS Stop Duration (s),Algorithm Runtime (s),Remaining Battery Capacity At End (Wh),Number of EVs Charging,Start Edge,End Edge
A,500,2528.91,2164.00,1,[364],0.3187735080718994,0.00,[1],246124643#1,27943766#4
A,500,4637.95,2823.00,1,[332],1.055906057357788,649.65,[2],-167121171#1,-672381827#0
A,500,708.42,1238.00,1,[218],0.013010978698730469,1034.44,[0],156464695#1,187743562#1
A,500,3613.28,2179.00,1,[332],0.3973395824432373,1239.29,[2],-86326093#0,-478895562#0
A,500,149.61,21.00,0,[],0.3848295211791992,463.48,[],-155765289#0,171594468#3
A,500,2414.12,1118.00,1,[364],0.17865443229675293,1236.59,[1],-27994829#1,-163382992#0
A,500,1649.49,543.00,1,[364],0.1591355800628662,1291.97,[1],-155767975,28011515#1
A,500,35.64,11.00,0,[],0.0040035247802734375,492.31,[],28028731#1,gneE15
A,500,2873.27,1106.00,1,[285],0.5955111980438232,1332.60,[3],145039122,-171750816#1
A,500,2756.67,618.00,1,[216],0.17815327644348145,1216.92,[0],-452551902,-190432831#3
A,500,1401.53,411.00,1,[349],0.07363629341125488,1092.00,[1],4947758#1,3650028#4
A,500,288.35,338.00,1,[332],0.008005857467651367,1830.42,[2],613788728#3,27683075#4
A,500,1977.92,1854.00,1,[370],0.24570965766906738,1234.29,[2],-163382988#4,30326839
A,500,1907.08,755.00,1,[216],0.13561606407165527,1092.64,[0],-122066617#4,353898756#0
A,500,1492.74,487.00,1,[216],0.0390324592590332,1434.97,[0],155731255#2,-592421473#2
A,500,963.85,337.00,1,[370],0.02552175521850586,1182.61,[2],-163566186#6,-353071426
A,500,1180.46,557.00,1,[218],0.06455445289611816,1136.90,[0],-797061,-154980603#2
A,500,30.87,10.00,0,[],0.07756614685058594,495.02,[],-4816289#3,145436390
A,500,3531.49,2213.00,1,[285],0.5860011577606201,1265.72,[3],-4811225#2,163566224#1
A,500,2410.51,2108.00,1,[349],0.46790051460266113,1178.06,[1],163566224#2,-155729948#4
A,500,3676.65,3152.00,1,[285],0.7786674499511719,2878.20,[3],614632173#3,37077798#1
A,500,1853.21,489.00,1,[216],0.07556366920471191,1059.72,[0],159131975,145434713#0
A,500,1430.49,493.00,1,[264],0.06405448913574219,1081.36,[1],-163383614#1,4721447#8
A,500,2900.63,992.00,1,[369],0.18265581130981445,1202.92,[0],-171879646,-476659509#1
A,500,1558.01,796.00,1,[285],0.07406306266784668,1589.54,[3],119864857#0,-155729948#0
A,500,2723.81,1201.00,1,[264],0.528954029083252,1207.22,[1],679601198#1,-27929143#11
A,500,3024.58,964.00,1,[285],0.4694030284881592,1362.75,[3],28046458#1,27927957#0
A,500,3235.72,1192.00,1,[216],0.18465924263000488,3104.35,[0],159132009#1,-27255142#0
A,500,4042.94,1340.00,1,[370],0.8512308597564697,1542.06,[2],163383626#0,159131939
A,500,16.17,7.00,0,[],0.004003763198852539,497.01,[],-27946839#2,-167121171#6
A,500,5366.06,2482.00,1,[216],1.0949394702911377,2743.36,[0],119826653#1,27931709#4
A,500,2313.78,1485.00,1,[209],0.2572207450866699,1332.92,[1],-155998759#2,4947753#1
A,500,2948.56,2674.00,1,[209],0.28624558448791504,1475.05,[1],-4794841#2,-28027798
A,500,3239.66,3061.00,1,[364],1.313627004623413,1360.98,[1],-28059218#3,-159131942#1
A,500,6620.76,2823.00,1,[216],1.1304693222045898,1633.59,[0],122066617#2,27946919#0
A,500,1763.28,2700.00,1,[285],0.0760650634765625,1155.57,[3],35277147#0,342942396#2
A,500,22.80,8.00,0,[],0.004002571105957031,495.97,[],28009000,37077783#1
A,500,34.93,11.00,0,[],0.40384554862976074,493.70,[],441988186#0,-46346752#1
A,500,3866.11,1991.00,1,[216],0.4809122085571289,3541.21,[0],170156790#5,155768539#1
A,500,2744.58,1891.00,1,[218],0.37432098388671875,1252.46,[0],-27929296#2,246124643#6
A,500,3564.03,3561.00,1,[280],0.6105234622955322,1399.17,[1],197713164#2,167121167#2
A,500,1848.62,1020.00,1,[280],0.09207987785339355,1261.52,[1],171648202,197713167#0
A,500,3027.56,3356.00,1,[264],0.37632226943969727,1349.93,[1],-355248658#0,4810770#2
A,500,2235.33,2083.00,1,[218],0.14362263679504395,1207.00,[0],-639129504,28078795#0
A,500,2495.44,3608.00,1,[280],0.3528025150299072,1320.95,[1],-136467082#5,-156338938#1
A,500,1698.72,576.00,1,[209],0.0735621452331543,1162.48,[1],28022453#1,662336268#1
A,500,1619.09,746.00,1,[216],0.06455540657043457,111.53,[0],122110077#1,-100808567
A,500,5263.37,2362.00,1,[216],0.7861735820770264,4325.51,[0],122066613#0,37077851#7
A,500,4616.38,1163.00,1,[349],0.9317994117736816,1440.65,[1],-28039391#3,159131955#2
A,500,110.05,19.00,0,[],0.0040035247802734375,459.33,[],187166624#1,353928654#1
A,500,78.96,17.00,0,[],0.004003047943115234,483.30,[],-626117928,159131955#1
A,500,5763.47,2245.00,1,[216],0.8997721672058105,1174.47,[0],-122066624#0,27993918#1
A,500,1728.71,1416.00,1,[216],0.06755709648132324,2251.18,[0],155731259#1,-155731249#11
A,500,2774.98,2712.00,1,[218],0.7046051025390625,1296.14,[0],4721467,-169850261
A,500,36.38,11.00,0,[],0.250213623046875,493.03,[],-198647720#1,-169251304#2
A,500,2606.40,2029.00,1,[369],0.3903348445892334,1203.61,[0],27927957#0,-8878359#0
A,500,43.87,12.00,0,[],0.12961125373840332,491.47,[],155765294#4,-28078795#1
A,500,4770.41,4066.00,1,[264],1.2310566902160645,979.57,[1],4721447#6,121040348#2
A,500,3218.03,705.00,1,[332],0.1961688995361328,1257.77,[2],34378623,28039385
A,500,3657.44,3731.00,1,[370],0.5314550399780273,1335.48,[2],156428064#14,-27929270#0
A,500,2254.44,806.00,1,[264],0.1961672306060791,1465.02,[1],198726454#0,-28038943#0
A,500,112.62,58.00,0,[],0.32728028297424316,486.87,[],-155766667#1,-155731249#1
A,500,57.41,14.00,0,[],0.20167231559753418,487.78,[],27943892#1,27943463
A,500,1717.45,754.00,1,[349],0.1080925464630127,1743.87,[1],28038924#4,75313254#5
A,500,2650.91,2429.00,1,[364],0.8327138423919678,47.32,[1],-27996155#3,154700003
A,500,2028.70,1517.00,1,[216],0.23920512199401855,2240.53,[0],-3663356,30095454#0
A,500,6423.96,4026.00,1,[216],1.0924365520477295,1326.85,[0],-231824422#0,-159238307#0
A,500,36.72,11.00,0,[],0.08707475662231445,492.44,[],171594469#1,4794842#3
A,500,0.00,1.00,0,[],0.3062613010406494,500.00,[],-27994829#6,-155768151#0
A,500,3388.30,2698.00,1,[209],0.7081069946289062,1412.47,[1],-172067277#3,28082116#0
A,500,2094.09,2599.00,1,[218],0.21468305587768555,1214.64,[0],-197713167#1,-27943833#3
A,500,2551.79,956.00,1,[370],0.19066286087036133,1455.10,[2],-28038924#4,-27927988#1
A,500,20.22,8.00,0,[],0.004003047943115234,496.55,[],28039501#5,171750816#0
A,500,1804.01,1167.00,1,[209],0.04854178428649902,1245.47,[1],-184507807#4,-4721531#5
A,500,3.38,3.00,0,[],0.42886781692504883,499.65,[],242436126,-28037932
A,500,2319.03,902.00,1,[370],0.2106795310974121,0.00,[2],168617599#0,28038960#2
A,500,3836.87,1354.00,1,[332],0.27623677253723145,1167.29,[2],-799961#3,-27946710#6
A,500,904.50,586.00,1,[285],0.023520946502685547,1998.22,[3],101850713,-732478288#2
A,500,12.38,6.00,0,[],0.004003286361694336,498.28,[],-187164860#2,-28078794#2
A,500,3537.62,3180.00,1,[369],0.4203612804412842,1339.13,[0],27255142#1,155767485#1
A,500,3916.75,2157.00,1,[285],0.9813425540924072,1467.47,[3],4910564#6,163383614#0
A,500,27.35,10.00,0,[],0.003503084182739258,493.63,[],28039904#0,-64432425#0
A,500,0.00,1.00,0,[],0.517444372177124,500.00,[],356102172#2,28028738#2
A,500,2311.47,1376.00,1,[264],0.13211274147033691,1108.61,[1],-27255142#1,28078587#2
A,500,2145.09,1863.00,1,[285],0.17815327644348145,1251.41,[3],4910505,159131985#1
A,500,2094.11,3160.00,1,[364],0.388333797454834,1173.45,[1],3650028#3,155729943#1
A,500,3598.69,2789.00,1,[364],1.2070355415344238,1459.79,[1],-28078795#0,90542365#5
A,500,3936.13,1314.00,1,[349],0.6725773811340332,1289.53,[1],-28011577#11,28028741#6
A,500,29.89,10.00,0,[],0.004004001617431641,493.63,[],-28028741#6,85618374#1
